,Date,Tweets
47,2020-07-23,"#tsla stellar results last quarter, beat expectations, $8b cash on hand, 3 Giga factories in flight, demand solid, 4 Qs profitable, S&amp;P 500 inclusion imminent, volume went from 5m to 17m yet price is dropping.... What are we missing here?"
48,2020-07-23,"RT @Travisdleslie: Tesla could potentially have the most accurate map system that is updated regularly, if not daily. Giving us live update…"
49,2020-07-23,"#TSLA :Now at 1528 ..........we see PANIC upto 1497------1481 soon very soon !!
Be cautious at higher levels. https://t.co/KyB5Di3rrJ"
50,2020-07-23,"RT @Travisdleslie: Tesla could potentially have the most accurate map system that is updated regularly, if not daily. Giving us live update…"
51,2020-07-23,"@28delayslater Can someone explain, other than just plain market manipulation, why the hell #tsla is going down? I thought we would see 2k this week"
52,2020-07-23,"RT @Travisdleslie: Tesla could potentially have the most accurate map system that is updated regularly, if not daily. Giving us live update…"
53,2020-07-23,"RT @Travisdleslie: Tesla could potentially have the most accurate map system that is updated regularly, if not daily. Giving us live update…"
54,2020-07-23,"RT @Travisdleslie: Tesla could potentially have the most accurate map system that is updated regularly, if not daily. Giving us live update…"
55,2020-07-23,Ayeee this worked out 😭 #TSLA  ty papa musk https://t.co/Bi7DcpGCsr
56,2020-07-23,downhill from here? #stockmarketnews #apple #tsla $tsla https://t.co/KPLyczQhK9
57,2020-07-23,"RT @Travisdleslie: Tesla could potentially have the most accurate map system that is updated regularly, if not daily. Giving us live update…"
58,2020-07-23,"RT @Travisdleslie: Tesla could potentially have the most accurate map system that is updated regularly, if not daily. Giving us live update…"
59,2020-07-23,RT @trader_nomad: #TSLA news selling heavy https://t.co/Im2lp17ZNt https://t.co/OBZW83jY0O
60,2020-07-23,200% range extension was textbook here on #TSLA looking for sub $800 to consider getting long.  https://t.co/EA8i6Y9e3V via https://t.co/VdZW5FY4ZF
61,2020-07-23,"RT @Travisdleslie: Tesla could potentially have the most accurate map system that is updated regularly, if not daily. Giving us live update…"
62,2020-07-23,"RT @Travisdleslie: Tesla could potentially have the most accurate map system that is updated regularly, if not daily. Giving us live update…"
63,2020-07-23,#TSLA news selling heavy https://t.co/Im2lp17ZNt https://t.co/OBZW83jY0O
64,2020-07-23,@GrahamNeary Superb #TSLA summary.  Matches everything I feel on the subject.  Your arguments were compelling and you didn't once mention the competition which is about to crush them - the hardest part for me is knowing I'm right but not wanting to take pain on MTM in the short term.
65,2020-07-23,@mcm_ct #TSLA busted 😂
66,2020-07-23,"Fellows investors, as I said yesterday, price has dropped, now is the time for gain!!! #TSLA Buy it now!"
67,2020-07-23,Funny how some think #TSLA will immediately go to $2000. Delusional IMO... it’s way over bought and it needs to rest and correct. The run up to $1800 was bakes into anticipated addition to #SP500. Good luck on your calls tho
68,2020-07-23,"RT @Travisdleslie: Tesla could potentially have the most accurate map system that is updated regularly, if not daily. Giving us live update…"
69,2020-07-23,"RT @Travisdleslie: Tesla could potentially have the most accurate map system that is updated regularly, if not daily. Giving us live update…"
70,2020-07-23,"Thank you for the dip #TSLA, bought more!"
71,2020-07-23,"RT @bti_trading: Entry Signal Time: 23/7 10:35
BATS:TSLA
Asset: Tesla
Direction: Short
Timeframe: 5 minutes
TP2 price :1535.04
Pips/Points…"
